continent,name,latitude,longitude,capital_city,population,languages,currency,points_of_interest,geography_nature,neighbor_countries
Oceania,Australia,-25.2744,133.7751,Canberra,"25,731,000 (2021)","English (76.8%), Mandarin (1.6%), Italian (1.4%), Arabic (1.3%), Cantonese (1.2%)",Australian dollar,"Great Barrier Reef, Uluru, Sydney Opera House","Great Barrier Reef, Outback, Sydney Harbour",None
Oceania,Cook Islands,-21.2367,-159.7777,Avarua,"17,791 (2021)","English (86.4%), Cook Islands Maori (76.2%)",New Zealand dollar,"Aitutaki Lagoon, Te Rua Manga (The Needle), Muri Beach","Aitutaki Lagoon, Te Manga, Mount Te Rua",None
Oceania,Fiji,-17.7134,178.065,Suva,"896,000 (2021)","English (58.3%), Fijian (36.7%), Hindustani (24.1%), Rotuman (1.2%)",Fijian dollar,"Yasawa Islands, Sigatoka Sand Dunes, Colo-I-Suva Forest Park","Yasawa Islands, Mamanuca Islands, Viti Levu",None
Oceania,Kiribati,1.8709,157.363,South Tarawa,"121,392 (2021)","English (31.3%), Kiribati (97.5%)",Australian dollar,"Phoenix Islands Protected Area, Christmas Island, Kiritimati Atoll","Phoenix Islands, Gilbert Islands, Line Islands",None
Oceania,Marshall Islands,7.1315,171.1845,Majuro,"58,791 (2021)","Marshallese (98.2%), English (61.5%), Japanese (0.6%)",United States dollar,"Bikini Atoll, Majuro Bridge, Alele Museum and Public Library","Bikini Atoll, Ralik Chain, Ratak Chain",None
Oceania,Micronesia,7.4256,150.5508,Palikir,"115,023 (2021)","English (61.3%), Chuukese (49.8%), Pohnpeian (30.9%), Kosraean (7.4%), Yapese (5.2%)",United States dollar,"Nan Madol, Chuuk Lagoon, Sokehs Rock","Nan Madol, Yap Islands, Chuuk Lagoon",None
Oceania,Nauru,-0.5477,166.9209,Yaren District,"10,824 (2021)","Nauruan, English (100%)",Australian dollar,"Anibare Bay, Nauru Museum, Buada Lagoon",Nauru is a small island in the Micronesian South Pacific. It is one of the world's smallest countries by land area and population. The island is surrounded by a coral reef.,None
Oceania,New Zealand,-40.9006,174.886,Wellington,"4,919,200 (2021)","English, Maori (4.1%)",New Zealand dollar,"Fiordland National Park, Milford Sound, Bay of Islands","The country is made up of two main islands and many smaller islands, with a diverse landscape including beaches, mountains, geysers, and rainforests.",None
Oceania,Niue,-19.0544,-169.8673,Alofi,"1,620 (2021)","Niuean, English (80%)",New Zealand dollar,"Matapa Chasm, Limu Pools, Togo Chasm","Niue is a small island country in the South Pacific, known for its limestone cliffs and coral reefs.",None
Oceania,Palau,7.515,134.5825,Ngerulmud,"20,964 (2021)","Palauan, English (50%)",United States dollar,"Rock Islands, Jellyfish Lake, Ngardmau Waterfall","Palau is an island country in the western Pacific Ocean, known for its natural beauty and coral reefs.",None
Oceania,Papua New Guinea,-6.314993,143.95555,Port Moresby,"9,166,208 (2021)","Tok Pisin, English (63%)",Papua New Guinean kina,"Kokoda Track, Mount Wilhelm, Tari Basin","Papua New Guinea is a culturally diverse country with over 800 languages spoken. It is known for its rainforests, coral reefs, and active volcanoes.","Indonesia, Australia"
Oceania,Samoa,-13.753243,-172.179554,Apia,"200,874 (2021)","Samoan, English (95.7%)",Samoan tālā,"Lalomanu Beach, To Sua Ocean Trench, Papase'ea Sliding Rocks","Samoa is made up of two main islands and several smaller islands in the South Pacific, known for its beaches and waterfalls.",None
Oceania,Solomon Islands,-9.6457,160.1562,Honiara,"686,133 (2021)","English (62%), Pijin (38%)",Solomon Islands dollar (SBD),"Guadalcanal Island, Marovo Lagoon, Honiara","Choiseul Island, Rennell Island, Santa Isabel Island",
Oceania,Tonga,-21.1789,-175.1982,Nukuʻalofa,"106,694 (2021)","Tongan (98.4%), English (42.2%), Fijian (4.5%), Samoan (3%), others",Paʻanga (TOP),"Ha'amonga 'a Maui Trilithon, Tongan National Cultural Centre, 'Ene'io Botanical Garden","Niue, Samoa, Fiji, Wallis and Futuna",
Oceania,Tokelau,-9.2012,-171.8484,Nukunonu,"1,357 (2021)","Tokelauan (58.3%), English (23.1%), Samoan (15.8%), Tuvaluan (3.6%), Kiribati (2.2%), others",New Zealand dollar (NZD),"Nukunonu Atoll, Fakaofo Atoll, Atafu Atoll",Samoa,
Oceania,Tuvalu,-7.4783,178.679,Funafuti,"10,846 (2021)","Tuvaluan (91.1%), English (58%), Samoan (2.9%), Kiribati (1.4%), others","Tuvaluan dollar (TVD), Australian dollar (AUD)","Funafuti Conservation Area, Nanumea, Funafuti Lagoon","Kiribati, Samoa",
Oceania,Vanuatu,-15.3767,166.9592,Port Vila,"307,145 (2021)","Bislama (56.6%), French (29.8%), English (2.9%), others",Vanuatu vatu (VUV),"Mount Yasur, Millennium Cave, Blue Holes","Fiji, Solomon Islands, New Caledonia",
